Plane,Name,Meal,Row,Seat
9002,Frost,pasta,4,2
9002,Eckstrom,special,8,1
9004,Wurfbaum,chicken,2,4
9004,Triantafillou,chicken,15,2
9004,McMahon,chicken,7,5
9003,Esposito,pasta,3,3
9005,Keating,pasta,2,5
9010,Pazer,special,3,4
9010,Lewis,special,5,5
9010,Millerick,pasta,13,4
9029,Kelly,pasta,30,5
9029,Hellrigel,pasta,12,5
9002,Lombardi,chicken,24,3
9013,Byers,chicken,31,5
9013,Souza,chicken,6,4
9012,Weber,chicken,1,1
9014,Yepez,pasta,6,3
9014,Feinberg,pasta,23,3
9015,Clouse,chicken,12,3
9016,Herrington,pasta,21,5
9016,Goff,pasta,21,2
9017,McKenna,special,12,3
9017,Droher,chicken,25,4
9017,Malwitz,chicken,6,4
9006,Masciotti,special,5,2
9006,Souza,chicken,10,1
9028,Nieto,pasta,12,2
9020,Brian,chicken,13,5
9007,Manfro,pasta,19,2
9009,Nyland,pasta,15,5
9008,Parshenov,chicken,16,1
9011,Wool,pasta,24,4
9011,Schellong,pasta,15,1
9013,Ureta,special,8,3
9013,Johnson,chicken,19,1
9013,Philbin,chicken,17,3
9019,Mickool,chicken,21,5
9018,Batterton,pasta,3,2
9018,Gonzalez,pasta,19,1
9028,In,special,30,1
9027,Sulli,special,3,2
9027,Mitchell,pasta,32,4
9021,Murtaugh,pasta,1,2
9021,Veno,pasta,24,2
9021,Boscia,chicken,15,3
9026,Black,chicken,16,1
9026,Critzman,chicken,16,2
9022,Friedman,chicken,18,5
9023,Guzinski,pasta,21,1
9025,Pittala,pasta,2,3
9024,Rowella,chicken,12,4
9002,Hill,pasta,14,3
9002,Peters,pasta,21,1
9004,Homiak,special,23,2
9004,McVeigh,chicken,16,1
9004,Waite,chicken,8,4
9003,Guasti,special,25,2
9005,Kessler,chicken,18,2
9010,Mauro,pasta,31,5
9010,Tuccio,chicken,16,3
9010,Buttrick,pasta,17,3
9029,Latorre,pasta,31,2
9029,Kim,chicken,23,4
9002,Lee,pasta,5,2
9013,Romoser,pasta,29,1
9013,Knupp,special,23,5
9012,Messenkopf,chicken,4,2
9014,Freeburg,chicken,29,3
9014,Horton,chicken,29,5
9015,Wisher,pasta,27,3
9016,Grossman,pasta,28,3
9016,Kile,special,28,3
